Dates24,Dooley Daily24,Dooley Rolling24,Lubes Daily24,Lubes Rolling24,Hauling Income Daily24,Hauling Estimate24,Hauling Income Rolling24,Tankwagon Daily24,Tankwagon Estimate24,Tankwagon Rolling24,Transport Fuels Daily24,Transport Fuels Rolling24,Chief Petroleum Daily24,Chief Petroleum Rolling24,Lubes/Dooley GP %24,Tankwagon Last GP %24,Hauling  GP %24,Transport Fuels  GP %24,Chief GP %24
9/16/2024,"$1,389.28","$11,710.69","$6,073.83","$54,307.65","$2,330.86","$2,578.10","$34,947.97","$15,237.72","$12,500.00",164.536.16,"$5,217.96","$30,245.79","$30,435.33","$301,836.02",-31%,-44%,-8%,-37%,-23%
9/17/2024,$85.19,"$3,255.63",$857.57,"$55,252.61","$2,231.34","$2,396.80","$32,007.06","$20,083.74","$21,152.83","$184,513.70","$6,988.69","$37,364.50","$23,078.42","$323,915.37",-26%,-29%,-6%,-32%,-19%
9/18/2024,"$1,129.72","$4,401.75","$7,172.69","$64,523.63","$2,283.39","$6,620.35","$44,667.30","$19,436.06","$20,389.95","$205,177.16","$4,790.84","$43,738.15","$42,638.28","$370,373.26",-29%,-28%,-4%,-30%,-19%
9/19/2024,"$1,383.64","$5,785.39","$1,282.74","$65,806.37","$4,057.43","$3,191.30","$48,897.28","$23,172.16","$26,999.58","$228,349.32","$2,019.26","$48,724.73","$32,229.69","$402,602.95",-32%,-25%,-4%,-36%,-20%
9/23/2024,$0.00,"$6,689.76","$4,176.81","$71,116.61","$1,859.58","$2,167.90","$43,053.43","$14,034.85","$14,138.12","$262,046.77","$4,493.19","$52,269.27","$25,221.59","$453,931.91",-30%,-45%,-4%,-40%,-21%
9/24/2024,$292.40,"$6,982.16","$8,336.54","$79,753.15","$2,397.56","$2,331.00","$45,450.99","$16,225.79","$18,503.61","$280,301.35",-$690.01,"$51,579.26","$26,911.81","$483,089.36",-7%,-30%,-4%,-31%,-11%
9/25/2024,"$2,306.67","$9,415.50","$1,393.85","$113,005.42","$2,416.39","$2,316.30","$61,616.15","$18,088.38","$20,107.19","$298,675.55","$6,147.68","$63,052.69","$30,515.83","$572,546.15",-9%,-32%,-5%,-26%,-11%
9/26/2024,$479.36,"$9,894.86","$4,105.99","$117,111.41","$6,795.54","$8,196.86","$64,181.71","$14,249.31","$16,146.33","$312,924.86","$7,978.72","$71,031.41","$34,189.00","$607,095.37",-20%,-33%,-6%,-24%,-14%
9/30/2024,$996.73,"$10,163.34","$21,512.38","$117,156.71","$5,830.06","$3,623.20","$72,472.06","$11,479.90","$9,070.15","$336,192.97","$8,447.86","$84,534.84","$55,702.71","$660,947.58",232%,-37%,-4%,-53%,25%
10/1/2024,"$3,030.45","$3,030.45","$17,567.90","$17,567.90","$2,503.66","$1,900.50","$2,503.66","$16,615.23","$12,337.81","$16,615.23","$2,515.57","$2,515.57","$42,817.93","$42,817.93",118%,-35%,-10%,-50%,2%
10/7/2024,"$3,889.61","$10,566.59",-$339.28,"$29,319.33","$3,862.93","$3,684.10","$19,483.40","$20,209.06","$24,078.99","$84,235.94","$7,825.15","$27,542.51","$35,662.47","$173,401.73",29%,-7%,0%,1%,2%
10/8/2024,$0.00,"$10,566.59","$5,665.23","$37,435.37","$2,683.43","$2,938.60","$22,166.83","$17,501.40","$17,961.45","$104,026.19","$5,172.16","$32,714.67","$31,366.22","$209,525.61",13%,-2%,-2%,17%,1%
10/9/2024,$0.00,"$10,566.59",$945.41,"$38,455.86","$4,477.17","$4,165.00","$27,183.42","$14,220.33","$13,740.87","$118,263.75","$11,652.19","$44,187.05","$31,381.09","$241,093.13",10%,-6%,-2%,16%,0%
10/10/2024,"$1,697.12","$12,555.64","$5,608.86","$42,078.46","$2,699.95","$3,373.40","$29,883.37","$16,549.31","$19,151.05","$134,980.46","$5,816.40","$50,003.45","$32,544.90","$271,819.17",23%,-8%,-3%,18%,1%
10/14/2024,$980.53,"$14,239.12","$8,577.70","$65,625.95","$2,789.56","$2,965.20","$35,553.76","$15,911.87","$14,699.64","$166,014.02","$7,771.11","$65,268.17","$36,202.77","$349,478.93",21%,-18%,-4%,23%,1%
10/15/2024,$0.00,"$14,239.12","$2,995.77","$68,567.93","$3,695.92","$3,703.10","$35,757.30","$15,487.10","$17,298.40","$181,725.95","$8,348.37","$73,322.80","$30,570.11","$380,288.75",15%,-11%,-2%,11%,-1%
10/16/2024,$0.00,"$15,197.16","-$3,028.44","$70,910.86",$992.74,"$5,114.90","$42,554.81","$17,376.25","$21,764.47","$202,415.61",$0.00,"$72,350.26","$15,340.55","$406,550.61",18%,-15%,2%,15%,2%
10/17/2024,$842.28,"$16,039.44","$8,346.66","$79,257.52","$2,107.30","$4,151.70","$44,122.69","$27,278.81","$18,116.89","$229,694.42","$8,553.50","$80,903.76","$47,515.55","$454,066.16",12%,-14%,4%,15%,2%
10/21/2024,$0.00,"$16,126.31","$9,693.02","$91,258.59","$1,852.42","$3,264.20","$49,623.66","$15,467.97","$15,119.31","$265,935.20","$3,453.96","$90,191.86","$31,879.81","$518,596.39",13%,-9%,3%,20%,3%
10/22/2024,$266.31,"$18,318.51",$514.54,"$93,808.93","$3,231.04","$3,006.50","$58,126.13","$17,612.08","$18,473.64","$285,350.11","$11,874.93","$103,840.62","$33,917.90","$565,074.22",16%,-9%,4%,17%,4%
10/23/2024,"$2,545.28","$21,297.17","$5,592.28","$101,377.93","$2,692.26","$3,523.80","$61,754.27","$16,512.96","$18,976.50","$304,271.17","$4,913.23","$107,762.26","$32,256.01","$602,307.45",12%,-9%,3%,24%,8%
10/24/2024,$242.01,"$22,202.70","$17,518.41","$103,171.46","$2,287.38","$8,429.26","$64,362.45","$14,884.01","$21,006.19","$319,860.03","$12,991.30","$120,540.00","$47,923.11","$662,960.77",8%,-10%,2%,23%,6%
10/28/2024,"$1,078.43","$22,901.54","$5,184.05","$117,984.17","$2,363.63","$2,098.60","$69,262.06","$18,714.83","$18,590.28","$365,189.33","$5,634.47","$137,767.02","$33,018.41","$734,849.77",14%,-14%,5%,21%,7%
10/29/2024,$467.60,"$22,200.63","$8,292.45","$126,113.51","$1,341.81","$1,883.70","$71,724.71","$16,692.92","$18,884.63","$382,273.63","$3,196.15","$137,112.53","$30,312.01","$768,071.07",3%,0%,6%,18%,7%
10/30/2024,$378.06,"$23,346.58","-$5,767.05","$118,010.89","$8,241.33","$8,084.87","$87,558.77","$20,512.46","$17,522.63","$404,572.39","$4,687.99","$140,281.90","$28,600.09","$800,777.66",-1%,-3%,6%,16%,5%
10/31/2024,$13.00,"$23,392.86",$293.81,"$118,304.70","$2,939.71","$3,414.50","$88,330.73","$17,626.90","$13,629.24","$422,626.58","$4,520.24","$144,802.14","$25,426.94","$826,607.41",19%,-6%,-5%,75%,10%
11/4/2024,$470.55,$563.13,"$5,281.84","$11,326.73","$4,376.55","$4,466.30","$8,556.82","$20,087.06","$20,588.73","$36,841.87","$13,669.37","$25,318.04","$44,527.98","$83,575.20",18%,-13%,-11%,62%,3%
11/5/2024,$73.97,$637.10,"$12,273.57","$23,600.30","$2,477.28","$3,308.00","$11,514.10","$15,770.12","$14,554.97","$52,342.22","$6,995.45","$32,313.49","$37,635.39","$120,940.82",23%,-18%,-16%,39%,-2%
11/6/2024,$560.95,"$1,198.05","$7,901.16","$32,435.16","$2,882.58","$2,370.90","$14,606.71","$13,295.12","$14,221.57","$66,543.27","$5,142.27","$37,110.67","$30,391.11","$152,869.47",3%,-27%,-22%,34%,-11%
11/21/2024,"$1,436.51","$9,305.91","$4,449.15","$76,018.17","$3,907.21","$3,971.80","$54,511.95","$21,293.89","$20,775.44","$264,628.33","$8,779.69","$111,569.75","$39,909.45","$521,388.97",-11%,-21%,-11%,7%,-9%
11/25/2024,$946.67,"$11,112.60","$2,103.45","$83,947.73","$2,830.53","$2,720.00","$59,311.28","$16,985.02","$21,035.35","$304,980.18","$8,373.55","$124,469.87","$31,299.22","$584,950.67",-18%,-22%,-11%,6%,-15%
11/27/2024,$0.00,"$11,112.60",$630.17,"$84,703.12","$3,548.23","$7,768.57","$65,705.82","$12,948.35","$12,285.02","$332,595.44","$14,268.37","$142,320.09","$31,395.12","$619,777.25",-22%,-22%,-11%,12%,-17%
11/28/2024,$0.00,"$11,112.60",$630.17,"$84,703.12","$3,548.23","$7,768.57","$65,705.82","$12,948.35","$12,285.02","$332,595.44","$14,268.37","$142,320.09","$31,395.12","$620,332.35",-40%,-21%,-10%,12%,-16%
